id,dataset,model,depth,hidden,eps,seed,test_acc
Actor_L3_H16_epsna_s0,Actor,hfgcn,3,16,na,0,0.2908
Actor_L3_H16_epsna_s1,Actor,hfgcn,3,16,na,1,0.2750
Actor_L3_H16_epsna_s2,Actor,hfgcn,3,16,na,2,0.3092
Actor_L3_H32_epsna_s0,Actor,hfgcn,3,32,na,0,0.2908
Actor_L3_H32_epsna_s1,Actor,hfgcn,3,32,na,1,0.2961
Actor_L3_H32_epsna_s2,Actor,hfgcn,3,32,na,2,0.2921
Actor_L3_H64_epsna_s0,Actor,hfgcn,3,64,na,0,0.2882
Actor_L3_H64_epsna_s1,Actor,hfgcn,3,64,na,1,0.3026
Actor_L3_H64_epsna_s2,Actor,hfgcn,3,64,na,2,0.2974
Actor_L4_H16_epsna_s0,Actor,hfgcn,4,16,na,0,0.2789
Actor_L4_H16_epsna_s1,Actor,hfgcn,4,16,na,1,0.2842
Actor_L4_H16_epsna_s2,Actor,hfgcn,4,16,na,2,0.2921
Actor_L4_H32_epsna_s0,Actor,hfgcn,4,32,na,0,0.2961
Actor_L4_H32_epsna_s1,Actor,hfgcn,4,32,na,1,0.2961
Actor_L4_H32_epsna_s2,Actor,hfgcn,4,32,na,2,0.2724
Actor_L4_H64_epsna_s0,Actor,hfgcn,4,64,na,0,0.2829
Actor_L4_H64_epsna_s1,Actor,hfgcn,4,64,na,1,0.2776
Actor_L4_H64_epsna_s2,Actor,hfgcn,4,64,na,2,0.2921
Squirrel_L2_H16_epsna_s0,Squirrel,hfgcn,2,16,na,0,0.3184
Squirrel_L2_H16_epsna_s1,Squirrel,hfgcn,2,16,na,1,0.3184
Squirrel_L2_H16_epsna_s2,Squirrel,hfgcn,2,16,na,2,0.3094
Squirrel_L2_H32_epsna_s0,Squirrel,hfgcn,2,32,na,0,0.2960
Squirrel_L2_H32_epsna_s1,Squirrel,hfgcn,2,32,na,1,0.2915
Squirrel_L2_H32_epsna_s2,Squirrel,hfgcn,2,32,na,2,0.3139
Squirrel_L2_H64_epsna_s0,Squirrel,hfgcn,2,64,na,0,0.3094
Squirrel_L2_H64_epsna_s1,Squirrel,hfgcn,2,64,na,1,0.3094
Squirrel_L2_H64_epsna_s2,Squirrel,hfgcn,2,64,na,2,0.3363
Squirrel_L3_H16_epsna_s0,Squirrel,hfgcn,3,16,na,0,0.3049
Squirrel_L3_H16_epsna_s1,Squirrel,hfgcn,3,16,na,1,0.3722
Squirrel_L3_H16_epsna_s2,Squirrel,hfgcn,3,16,na,2,0.3587
Squirrel_L3_H32_epsna_s0,Squirrel,hfgcn,3,32,na,0,0.3229
Squirrel_L3_H32_epsna_s1,Squirrel,hfgcn,3,32,na,1,0.2870
Squirrel_L3_H32_epsna_s2,Squirrel,hfgcn,3,32,na,2,0.3184
Squirrel_L3_H64_epsna_s0,Squirrel,hfgcn,3,64,na,0,0.2870
Squirrel_L3_H64_epsna_s1,Squirrel,hfgcn,3,64,na,1,0.3184
Squirrel_L3_H64_epsna_s2,Squirrel,hfgcn,3,64,na,2,0.3274
Squirrel_L4_H16_epsna_s0,Squirrel,hfgcn,4,16,na,0,0.3453
Squirrel_L4_H16_epsna_s1,Squirrel,hfgcn,4,16,na,1,0.3498
Squirrel_L4_H16_epsna_s2,Squirrel,hfgcn,4,16,na,2,0.3543
Squirrel_L4_H32_epsna_s0,Squirrel,hfgcn,4,32,na,0,0.3587
Squirrel_L4_H32_epsna_s1,Squirrel,hfgcn,4,32,na,1,0.3274
Squirrel_L4_H32_epsna_s2,Squirrel,hfgcn,4,32,na,2,0.3318
Squirrel_L4_H64_epsna_s0,Squirrel,hfgcn,4,64,na,0,0.3229
Squirrel_L4_H64_epsna_s1,Squirrel,hfgcn,4,64,na,1,0.2780
Squirrel_L4_H64_epsna_s2,Squirrel,hfgcn,4,64,na,2,0.3184
Minesweeper_L2_H16_epsna_s0,Minesweeper,hfgcn,2,16,na,0,0.6400
Minesweeper_L2_H16_epsna_s1,Minesweeper,hfgcn,2,16,na,1,0.6250
Minesweeper_L2_H16_epsna_s2,Minesweeper,hfgcn,2,16,na,2,0.6690
Minesweeper_L2_H32_epsna_s0,Minesweeper,hfgcn,2,32,na,0,0.6570
Minesweeper_L2_H32_epsna_s1,Minesweeper,hfgcn,2,32,na,1,0.6650
Minesweeper_L2_H32_epsna_s2,Minesweeper,hfgcn,2,32,na,2,0.6710
Minesweeper_L2_H64_epsna_s0,Minesweeper,hfgcn,2,64,na,0,0.6750
Minesweeper_L2_H64_epsna_s1,Minesweeper,hfgcn,2,64,na,1,0.6690
Minesweeper_L2_H64_epsna_s2,Minesweeper,hfgcn,2,64,na,2,0.6590
Minesweeper_L3_H16_epsna_s0,Minesweeper,hfgcn,3,16,na,0,0.7070
Minesweeper_L3_H16_epsna_s1,Minesweeper,hfgcn,3,16,na,1,0.7070
Minesweeper_L3_H16_epsna_s2,Minesweeper,hfgcn,3,16,na,2,0.7050
Minesweeper_L3_H32_epsna_s0,Minesweeper,hfgcn,3,32,na,0,0.7160
Minesweeper_L3_H32_epsna_s1,Minesweeper,hfgcn,3,32,na,1,0.7130
Minesweeper_L3_H32_epsna_s2,Minesweeper,hfgcn,3,32,na,2,0.7130
Minesweeper_L3_H64_epsna_s0,Minesweeper,hfgcn,3,64,na,0,0.7100
Minesweeper_L3_H64_epsna_s1,Minesweeper,hfgcn,3,64,na,1,0.7230
Minesweeper_L3_H64_epsna_s2,Minesweeper,hfgcn,3,64,na,2,0.7090
Minesweeper_L4_H16_epsna_s0,Minesweeper,hfgcn,4,16,na,0,0.7140
Minesweeper_L4_H16_epsna_s1,Minesweeper,hfgcn,4,16,na,1,0.7160
Minesweeper_L4_H16_epsna_s2,Minesweeper,hfgcn,4,16,na,2,0.7060
Minesweeper_L4_H32_epsna_s0,Minesweeper,hfgcn,4,32,na,0,0.7210
